numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,anio_academico
26,anon_143,Algoritmos y Programación,2526-3,1,1,miercoles,1,contenido,2,1
26,anon_143,Algoritmos y Programación,2526-3,1,2,lunes,2,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,2,miercoles,2,contenido,1,1
26,anon_143,Algoritmos y Programación,2526-3,1,3,lunes,3,contenido,1,1
26,anon_143,Algoritmos y Programación,2526-3,1,3,miercoles,4,contenido,2,1
26,anon_143,Algoritmos y Programación,2526-3,1,4,lunes,4,contenido,2,1
26,anon_143,Algoritmos y Programación,2526-3,1,4,miercoles,5,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,5,lunes,0,repaso,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,5,miercoles,0,evaluacion,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,6,lunes,0,evaluacion,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,6,miercoles,6,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,7,lunes,7,contenido,2,1
26,anon_143,Algoritmos y Programación,2526-3,1,7,miercoles,7,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,8,lunes,8,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,8,miercoles,9,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,9,lunes,0,repaso,4,1
26,anon_143,Algoritmos y Programación,2526-3,1,9,miercoles,0,evaluacion,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,10,lunes,10,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,10,miercoles,10,contenido,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,11,lunes,0,evaluacion,0,1
26,anon_143,Algoritmos y Programación,2526-3,1,11,miercoles,0,sin_clase,,1
26,anon_143,Algoritmos y Programación,2526-3,1,12,lunes,0,evaluacion,0,1
