numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,anio_academico
11,anon_011,Algoritmos y Programación,2425-2,1,12,lunes,0,administrativa,0,2
11,anon_011,Algoritmos y Programación,2425-2,1,12,miercoles,0,administrativa,0,2
12,anon_012,Algoritmos y Programación,2425-2,1,1,lunes,0,administrativa,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,1,miercoles,1,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,2,lunes,2,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,2,miercoles,3,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,3,lunes,4,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,3,miercoles,4,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,4,lunes,5,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,4,miercoles,0,repaso,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,5,lunes,0,evaluacion,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,5,miercoles,6,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,6,lunes,0,evaluacion,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,6,miercoles,6,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,7,lunes,6,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,7,miercoles,8,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,8,lunes,9,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,8,miercoles,10,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,9,lunes,0,sin_clase,,1
12,anon_012,Algoritmos y Programación,2425-2,1,9,miercoles,0,evaluacion,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,10,lunes,10,contenido,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,10,miercoles,0,repaso,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,11,lunes,0,evaluacion,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,11,miercoles,0,evaluacion,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,12,lunes,0,administrativa,0,1
12,anon_012,Algoritmos y Programación,2425-2,1,12,miercoles,0,administrativa,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,1,lunes,0,administrativa,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,1,miercoles,1,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,2,lunes,2,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,2,miercoles,3,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,3,lunes,4,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,3,miercoles,4,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,4,lunes,5,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,4,miercoles,0,repaso,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,5,lunes,0,evaluacion,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,5,miercoles,6,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,6,lunes,0,evaluacion,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,6,miercoles,6,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,7,lunes,6,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,7,miercoles,8,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,8,lunes,9,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,8,miercoles,10,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,9,lunes,0,sin_clase,,1
13,anon_013,Algoritmos y Programación,2425-2,1,9,miercoles,0,evaluacion,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,10,lunes,10,contenido,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,10,miercoles,0,repaso,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,11,lunes,0,evaluacion,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,11,miercoles,0,evaluacion,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,12,lunes,0,administrativa,0,1
13,anon_013,Algoritmos y Programación,2425-2,1,12,miercoles,0,administrativa,0,1
14,anon_014,Algoritmos y Programación,2425-2,1,1,lunes,0,administrativa,3,1
14,anon_014,Algoritmos y Programación,2425-2,1,1,miercoles,1,contenido,3,1
14,anon_014,Algoritmos y Programación,2425-2,1,2,lunes,2,contenido,3,1
14,anon_014,Algoritmos y Programación,2425-2,1,2,miercoles,3,contenido,2,1
14,anon_014,Algoritmos y Programación,2425-2,1,3,lunes,4,contenido,0,1
14,anon_014,Algoritmos y Programación,2425-2,1,3,miercoles,4,contenido,3,1
14,anon_014,Algoritmos y Programación,2425-2,1,4,lunes,5,contenido,0,1
14,anon_014,Algoritmos y Programación,2425-2,1,4,miercoles,0,repaso,1,1
14,anon_014,Algoritmos y Programación,2425-2,1,5,lunes,0,evaluacion,0,1
14,anon_014,Algoritmos y Programación,2425-2,1,5,miercoles,6,contenido,1,1
14,anon_014,Algoritmos y Programación,2425-2,1,6,lunes,0,evaluacion,0,1
14,anon_014,Algoritmos y Programación,2425-2,1,6,miercoles,6,contenido,1,1
14,anon_014,Algoritmos y Programación,2425-2,1,7,lunes,6,contenido,0,1
14,anon_014,Algoritmos y Programación,2425-2,1,7,miercoles,8,contenido,1,1
14,anon_014,Algoritmos y Programación,2425-2,1,8,lunes,9,contenido,1,1
